# role	policy-key-or-exemption	source	owner	mechanism	surface-or-entry	target-or-resource	[occurrences=1]
# Stable keys deliberately omit line numbers. The scanner derives owner names
# from production function bodies, scans only cataloged surface types plus the
# MenuController Panel container, and separately records resource loaders and
# loading-overlay functions. Ordinary Button/Label/Item make_shared calls are
# not surface candidates.
recursive-submenu	exempt:submenu-inherits-owner	src/Component/ConfigDrivenPanel.cpp	ConfigDrivenPanel::createSubMenu	resource-load	loadMenuDefinition	subMenu:menuFile
surface-resource	exempt:owner-policy-inherited	src/Component/ConfigDrivenPanel.cpp	ConfigDrivenPanel::init	resource-load	loadMenuDefinition	this:menuDefinitionFile
embedded-component-factory	video.playback	src/Component/VideoPlayer.cpp	<namespace-static>	make-shared	VideoPlayer	<return>
surface-instance	startup.resource-select	src/Game/Game.cpp	Game::run	make-shared	ResourceSelectScene	selectScene
surface-instance	startup.title	src/Game/Game.cpp	Game::run	make-shared	Title	title
surface-instance	global.yes-no	src/Game/Game.cpp	showApplicationCloseConfirmation	make-shared	YesNo	confirmation
surface-instance	controller-help	src/Game/Game.cpp	showControllerHelp	make-shared	ControllerHelpOverlay	helpOverlay
surface-instance	mobile.joystick	src/Game/GameManager/GameController.cpp	GameController::init	make-shared	JoystickPanel	joystickPanel
surface-instance	mobile.skills	src/Game/GameManager/GameController.cpp	GameController::init	make-shared	SkillsPanel	skillPanel
surface-rebuild	hud.bottom	src/Game/GameManager/MenuController.cpp	MenuController::applyLayoutByGameType	make-shared	BottomMenu	bottomMenu
surface-rebuild	hud.column	src/Game/GameManager/MenuController.cpp	MenuController::applyLayoutByGameType	make-shared	ColumnMenu	columnMenu
surface-rebuild	hud.top	src/Game/GameManager/MenuController.cpp	MenuController::applyLayoutByGameType	make-shared	TopMenu	topMenu
surface-instance	hud.bottom	src/Game/GameManager/MenuController.cpp	MenuController::init	AddMenuChild	BottomMenu	bottomMenu
surface-instance	hud.column	src/Game/GameManager/MenuController.cpp	MenuController::init	AddMenuChild	ColumnMenu	columnMenu
surface-instance	dialog	src/Game/GameManager/MenuController.cpp	MenuController::init	AddMenuChild	Dialog	dialog
surface-instance	system-notice	src/Game/GameManager/MenuController.cpp	MenuController::init	AddMenuChild	SystemNotice	systemNotice
surface-container	exempt:surface-container	src/Game/GameManager/MenuController.cpp	MenuController::init	AddMenuChild	Panel	upMenu
surface-instance	hud.top	src/Game/GameManager/MenuController.cpp	MenuController::init	AddMenuChild	TopMenu	topMenu
surface-instance	buy-sell	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	BuySellMenu	buySellMenu
surface-instance	choice	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	ChooseMenu	chooseMenu
surface-instance	rpg.equipment	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	EquipMenu	equipMenu
surface-instance	gamble.normal,gamble.dice,gamble.fish	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	GambleMenu	gambleMenu
surface-instance	rpg.goods	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	GoodsMenu	goodsMenu
surface-instance	rpg.magic	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	MagicMenu	magicMenu
surface-instance	map-thumbnail	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	MapThumbnailMenu	mapThumbnailMenu
surface-instance	rpg.memo	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	MemoMenu	memoMenu
surface-instance	message	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	MsgBox	messageBox
surface-instance	npc-info	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	NpcInfoPanel	npcInfoPanel
surface-instance	partner-equipment	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	PartnerEquipMenu	partnerEquipMenu
surface-instance	partner-head	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	PartnerHeadMenu	partnerHeadMenu
surface-instance	rpg.practice	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	PracticeMenu	practiceMenu
surface-instance	rpg.state	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	StateMenu	stateMenu
surface-instance	timer	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	TimerMenu	timerMenu
surface-instance	tooltip	src/Game/GameManager/MenuController.cpp	MenuController::init	AddUpMenuChild	ToolTip	toolTip
surface-instance	system	src/Game/GameManager/MenuController.cpp	MenuController::openSystemMenu	make-shared	System	system
surface-instance	hud.column	src/Game/Menu/BottomMenu.cpp	BottomMenu::init	make-shared	ColumnMenu	columnMenu
surface-resource	hud.bottom	src/Game/Menu/BottomMenu.cpp	BottomMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\bottom\\\\bottom.menu.ini"
surface-resource	buy-sell	src/Game/Menu/BuySellMenu.cpp	BuySellMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\buysell\\\\buysell.menu.ini"
surface-resource	choice	src/Game/Menu/ChooseMenu.cpp	ChooseMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\choose\\\\choose.menu.ini"
surface-resource	hud.column	src/Game/Menu/ColumnMenu.cpp	ColumnMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\column\\\\column.menu.ini"
surface-resource	dialog	src/Game/Menu/Dialog.cpp	Dialog::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\dialog\\\\dialog.menu.ini"
surface-resource	rpg.equipment	src/Game/Menu/EquipMenu.cpp	EquipMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\equip\\\\equip.menu.ini"
surface-resource	rpg.goods	src/Game/Menu/GoodsMenu.cpp	GoodsMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\goods\\\\goods.menu.ini"
